country,confirmed,death,recovered,active,population
Afghanistan,41814,1548,34362,5904,38041754
Albania,22300,536,11578,10186,2854191
Algeria,59527,1999,41001,16527,43053054
Andorra,5045,75,3734,1236,77142
Angola,11813,296,5266,6251,31825295
Antigua and Barbuda,130,3,118,9,97118
Argentina,1205928,32520,1017647,155761,44938712
Armenia,97150,1448,58811,36891,2957731
Australia,27630,907,25418,1305,25364307
Austria,125099,1227,77036,46836,8877067
Azerbaijan,59509,780,45697,13032,10023318
Bahamas,6843,150,4701,1992,389482
Bahrain,82624,327,79929,2368,1641172
Bangladesh,414164,6004,331697,76463,163046161
Barbados,239,7,224,8,287025
Belarus,102313,995,88701,12617,9466856
Belgium,468213,12331,27334,428548,11484055
Belize,3905,64,2293,1548,390353
Benin,2745,43,2455,247,11801151
Bhutan,358,0,329,29,763092
Bolivia,142062,8758,112842,20462,11513100
Bosnia and Herzegovina,55598,1358,29389,24851,3301000
Botswana,6642,24,4676,1942,2303697
Brazil,5590025,161106,5078162,350757,211049527
Brunei,148,3,143,2,433285
Bulgaria,64591,1466,21947,41178,6975761
Burkina Faso,2539,67,2319,153,20321378
Myanmar,56940,1330,40778,14832,54045420
Burundi,606,1,511,94,11530580
Cabo Verde,9053,95,8220,738,549935
Cambodia,292,0,283,9,16486542
Cameroon,22103,429,21151,523,25876380
Canada,250698,10385,208815,NA,37589262
Central African Republic,4866,62,1924,2880,4745185
Chad,1517,99,1351,67,15946876
Chile,515042,14340,492149,NA,18952038
China,91509,4740,86241,528,1397715000
Colombia,1108086,32013,1002202,73871,50339443
Comoros,554,7,517,30,850886
"Congo, Rep.",5348,92,3887,1369,5380508
"Congo, Dem. Rep.",11450,315,10786,349,86790567
Costa Rica,113261,1431,69143,42687,5047561
Cote d'Ivoire,20778,126,20447,205,25716544
Croatia,56567,654,41070,14843,4067500
Cuba,7144,129,6394,621,11333483
Cyprus,5100,27,1882,3191,1198575
Czech Republic,378716,4133,199763,174820,10669709
Denmark,51042,729,37398,12915,5818553
Djibouti,5580,61,5472,47,973560
Dominica,50,0,33,17,71808
Dominican Republic,128278,2257,106304,19717,10738958
Ecuador,171433,12704,149048,9681,17373662
Egypt,108329,6318,99874,2137,100388073
El Salvador,34015,992,29788,3235,6453553
Equatorial Guinea,5089,83,4965,41,1355986
Estonia,5333,73,3954,1306,1326590
Eswatini,5955,117,5686,152,1148130
Ethiopia,97881,1503,56156,40222,112078730
Fiji,34,2,31,1,889953
Finland,16930,361,12700,3869,5520314
France,1591152,38728,126195,1425555,67059887
Gabon,9005,55,8846,104,2172579
Gambia,3680,120,3504,56,2347706
Georgia,46817,381,31170,15266,3720382
Germany,608611,10949,384012,213650,83132799
Ghana,48643,320,47446,877,30417856
Greece,46892,673,23074,23145,10716322
Grenada,30,0,27,3,112003
Guatemala,109147,3752,99167,6228,16604026
Guinea,12331,73,10698,1560,12771246
Guinea-Bissau,2414,42,1862,510,1920922
Guyana,4324,130,3394,800,782766
Haiti,9100,232,7589,1279,11263077
Honduras,99124,2730,42153,54241,9746117
Hungary,90988,2063,21232,67693,9769949
Iceland,4989,17,4174,798,361313
India,8364086,124315,7711809,527962,1366417754
Indonesia,421731,14259,353282,54190,270625568
Iran,646164,36579,500400,109185,82913906
Iraq,485870,11128,417235,57507,39309783
Ireland,63483,1930,23364,38189,4941444
Israel,317332,2597,305326,9409,9053300
Italy,790377,39764,307378,443235,60297396
Jamaica,9326,215,4704,4407,2948279
Japan,103928,1799,93564,8565,126264931
Jordan,91234,1029,8188,82017,10101694
Kazakhstan,114235,1857,107139,5239,18513930
Kenya,58587,1051,38381,19155,52573973
"Korea, Rep.",27050,475,24735,1840,51709098
Kuwait,128843,794,119742,8307,4207083
Kyrgyz Republic,61309,1167,52343,7799,6456900
Laos,24,0,23,1,7169455
Latvia,6752,85,1444,5223,1912789
Lebanon,87097,676,45032,41389,6855713
Lesotho,1963,44,988,931,2125268
Liberia,1438,82,1301,55,4937374
Libya,64587,900,37610,26077,6777452
Liechtenstein,659,3,423,233,38019
Lithuania,18092,182,5082,12828,2786844
Luxembourg,20344,171,11063,9110,619896
Madagascar,17111,244,16409,458,26969307
Malawi,5934,184,5336,414,18628747
Malaysia,35425,271,24815,10339,31949777
