"environment","routine_prepwork","rush_things","toolbox_talks","manufacturing","project","services","routine","rush","frequent_talks","occasional_talks","very_frequent_talks","constant_talks","never_talks"
"Project","No","No","Before ever job task",0,1,0,0,0,0,0,0,1,0
"Project","No","No","Sometimes",0,1,0,0,0,0,1,0,0,0
"Project","No","No","Before ever job task",0,1,0,0,0,0,0,0,1,0
"Manufacturing","Yes","Yes","Very frequently",1,0,0,1,1,0,0,1,0,0
"Manufacturing","No","No","Before ever job task",1,0,0,0,0,0,0,0,1,0
"Manufacturing","No","No","Very frequently",1,0,0,0,0,0,0,1,0,0
"Manufacturing","No","No","Sometimes",1,0,0,0,0,0,1,0,0,0
"Manufacturing","Yes","Yes","Very frequently",1,0,0,1,1,0,0,1,0,0
"Manufacturing","No","No","Frequently",1,0,0,0,0,1,0,0,0,0
"Manufacturing","No","No","Before ever job task",1,0,0,0,0,0,0,0,1,0
"Manufacturing","No","Yes","Sometimes",1,0,0,0,1,0,1,0,0,0
"Manufacturing","No","No","Frequently",1,0,0,0,0,1,0,0,0,0
"Manufacturing","No","Yes","Never",1,0,0,0,1,0,0,0,0,1
"Manufacturing","Yes","No","Sometimes",1,0,0,1,0,0,1,0,0,0
"Manufacturing","No","No","Never",1,0,0,0,0,0,0,0,0,1
"Manufacturing","No","No","Frequently",1,0,0,0,0,1,0,0,0,0
"Project","Yes","No","Before ever job task",0,1,0,1,0,0,0,0,1,0
"Services","No","No","Before ever job task",0,0,1,0,0,0,0,0,1,0
"Services","No","No","Before ever job task",0,0,1,0,0,0,0,0,1,0
"Project","No","No","Before ever job task",0,1,0,0,0,0,0,0,1,0
"Services","No","Yes","Before ever job task",0,0,1,0,1,0,0,0,1,0
"Manufacturing","No","No","Very frequently",1,0,0,0,0,0,0,1,0,0
"Project","Yes","Yes","Very frequently",0,1,0,1,1,0,0,1,0,0
"Project","No","No","Sometimes",0,1,0,0,0,0,1,0,0,0
"Services","No","No","Before ever job task",0,0,1,0,0,0,0,0,1,0
"Manufacturing","No","No","Frequently",1,0,0,0,0,1,0,0,0,0
"Manufacturing","No","Yes","Before ever job task",1,0,0,0,1,0,0,0,1,0
"Manufacturing","No","No","Sometimes",1,0,0,0,0,0,1,0,0,0
"Manufacturing","No","No","Never",1,0,0,0,0,0,0,0,0,1
"Manufacturing","No","No","Never",1,0,0,0,0,0,0,0,0,1
"Manufacturing","No","No","Frequently",1,0,0,0,0,1,0,0,0,0
"Manufacturing","No","No","Frequently",1,0,0,0,0,1,0,0,0,0
"Manufacturing","No","Yes","Very frequently",1,0,0,0,1,0,0,1,0,0
"Manufacturing","No","No","Very frequently",1,0,0,0,0,0,0,1,0,0
"Services","No","No","Before ever job task",0,0,1,0,0,0,0,0,1,0
"Manufacturing","No","No","Never",1,0,0,0,0,0,0,0,0,1
"Project","No","No","Sometimes",0,1,0,0,0,0,1,0,0,0
"Manufacturing","No","No","Sometimes",1,0,0,0,0,0,1,0,0,0
"Manufacturing","No","Yes","Sometimes",1,0,0,0,1,0,1,0,0,0
"Manufacturing","Yes","No","Sometimes",1,0,0,1,0,0,1,0,0,0
"Manufacturing","No","No","Sometimes",1,0,0,0,0,0,1,0,0,0
"Manufacturing","Yes","Yes","Never",1,0,0,1,1,0,0,0,0,1
"Manufacturing","No","No","Frequently",1,0,0,0,0,1,0,0,0,0
"Manufacturing","No","No","Sometimes",1,0,0,0,0,0,1,0,0,0
"Manufacturing","Yes","Yes","Sometimes",1,0,0,1,1,0,1,0,0,0
"Manufacturing","No","No","Before ever job task",1,0,0,0,0,0,0,0,1,0
"Project","No","Yes","Before ever job task",0,1,0,0,1,0,0,0,1,0
"Project","No","Yes","Before ever job task",0,1,0,0,1,0,0,0,1,0
"Manufacturing","No","No","Before ever job task",1,0,0,0,0,0,0,0,1,0
"Manufacturing","No","No","Sometimes",1,0,0,0,0,0,1,0,0,0
