"safe_office","office_hazards_reviewed","office_familiar_risks","office_safety_mission_engagement","yes_safe_office","no_safe_office","noresponse_safe_office","mission","hazards","very_familiar_risks","familiar_risks","somewhat_familiar_risks","not_familiar_risks","no_response_risks"
"Yes","No","Not familiar","Yes",1,0,0,1,0,0,0,0,1,0
"Yes","Yes","Very familiar","Yes",1,0,0,1,1,1,0,0,0,0
"Yes","No","Somewhat familiar","Yes",1,0,0,1,0,0,0,1,0,0
"Yes","Yes","Very familiar","Yes",1,0,0,1,1,1,0,0,0,0
"Yes","No","Somewhat familiar","Yes",1,0,0,1,0,0,0,1,0,0
"No","No","Very familiar","Yes",0,1,0,1,0,1,0,0,0,0
"Yes","No","Not familiar","Yes",1,0,0,1,0,0,0,0,1,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","No","Somewhat familiar","Yes",1,0,0,1,0,0,0,1,0,0
"Yes","Yes","Very familiar","Yes",1,0,0,1,1,1,0,0,0,0
"Yes","Yes","Familiar","Yes",1,0,0,1,1,0,1,0,0,0
"Yes","No","Not familiar","No",1,0,0,0,0,0,0,0,1,0
"Yes","No","Not familiar","Yes",1,0,0,1,0,0,0,0,1,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","Yes","Very familiar","Yes",1,0,0,1,1,1,0,0,0,0
"Yes","No","Somewhat familiar","Yes",1,0,0,1,0,0,0,1,0,0
"Yes","No","Somewhat familiar","Yes",1,0,0,1,0,0,0,1,0,0
"Yes","Yes","Familiar","Yes",1,0,0,1,1,0,1,0,0,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","Yes","Very familiar","Yes",1,0,0,1,1,1,0,0,0,0
"Yes","No","Not familiar","No",1,0,0,0,0,0,0,0,1,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","Yes","Somewhat familiar","Yes",1,0,0,1,1,0,0,1,0,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","No","Very familiar","Yes",1,0,0,1,0,1,0,0,0,0
"Yes","Yes","Familiar","Yes",1,0,0,1,1,0,1,0,0,0
"Yes","No","Very familiar","Yes",1,0,0,1,0,1,0,0,0,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","Yes","Familiar","Yes",1,0,0,1,1,0,1,0,0,0
"No","No","Not familiar","Yes",0,1,0,1,0,0,0,0,1,0
"Yes","No","Very familiar","Yes",1,0,0,1,0,1,0,0,0,0
"Yes","No","Not familiar","Yes",1,0,0,1,0,0,0,0,1,0
"Yes","No","Somewhat familiar","Yes",1,0,0,1,0,0,0,1,0,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","No","Very familiar","Yes",1,0,0,1,0,1,0,0,0,0
"Yes","Yes","Familiar","Yes",1,0,0,1,1,0,1,0,0,0
"Yes","No","Very familiar","Yes",1,0,0,1,0,1,0,0,0,0
"Yes","No","Somewhat familiar","Yes",1,0,0,1,0,0,0,1,0,0
"Yes","No","Somewhat familiar","Yes",1,0,0,1,0,0,0,1,0,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","No","Somewhat familiar","Yes",1,0,0,1,0,0,0,1,0,0
"Yes","No","Very familiar","Yes",1,0,0,1,0,1,0,0,0,0
"Yes","Yes","Familiar","Yes",1,0,0,1,1,0,1,0,0,0
"Yes","Yes","Very familiar","Yes",1,0,0,1,1,1,0,0,0,0
"Yes","Yes","Familiar","Yes",1,0,0,1,1,0,1,0,0,0
"Yes","No","Very familiar","Yes",1,0,0,1,0,1,0,0,0,0
"Yes","Yes","Familiar","Yes",1,0,0,1,1,0,1,0,0,0
"Yes","No","Very familiar","Yes",1,0,0,1,0,1,0,0,0,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","Yes","Familiar","Yes",1,0,0,1,1,0,1,0,0,0
"Yes","No","Familiar","No",1,0,0,0,0,0,1,0,0,0
"Yes","Yes","Familiar","Yes",1,0,0,1,1,0,1,0,0,0
"Yes","Yes","Very familiar","Yes",1,0,0,1,1,1,0,0,0,0
"Yes","Yes","Very familiar","Yes",1,0,0,1,1,1,0,0,0,0
"Yes","Yes","Familiar","Yes",1,0,0,1,1,0,1,0,0,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","Yes","Very familiar","Yes",1,0,0,1,1,1,0,0,0,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
"Yes","No","Very familiar","Yes",1,0,0,1,0,1,0,0,0,0
"Yes","No","Familiar","Yes",1,0,0,1,0,0,1,0,0,0
